#{"t_start": 1700739398.1538517, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-91.028059,49,0.218862
-102.54118,59,0.240552
-105.689125,66,0.263303
-103.627751,91,0.293972
-87.2152,71,0.320967
-86.176906,54,0.339884
-94.670068,98,0.373211
-107.056793,60,0.39293
-164.814385,84,0.428474
-93.585721,55,0.449355
-112.567354,56,0.468358
-97.817265,53,0.485744
-90.155679,57,0.509156
-99.25618,47,0.52583
-112.505457,81,0.552454
-153.812113,77,0.578901
-144.379274,62,0.604934
-99.80717,63,0.627386
-102.775425,60,0.648357
-154.972888,66,0.671296
-101.440259,63,0.69405
-98.580871,49,0.712993
-101.807354,44,0.727362
-96.34648,60,0.747397
-122.785045,62,0.771123
-94.746944,54,0.789659
-104.252486,53,0.806721
-122.492527,51,0.8341
-92.698504,57,0.869751
-104.148495,50,0.897599
-103.469153,55,0.92201
-150.326898,73,0.950712
-117.722712,54,0.973292
-116.36506,48,0.991281
-119.789103,61,1.015605
-96.472973,63,1.039694
-139.301647,62,1.066236
-105.225761,50,1.085358
-118.342367,53,1.105419
-136.203547,141,1.161293
-92.210235,50,1.182686
-88.750844,71,1.210553
-105.386562,45,1.228425
-107.769145,61,1.252361
-104.643012,48,1.273182
-98.143136,49,1.291863
-89.611845,54,1.311911
-125.236915,54,1.333662
-104.080902,52,1.355609
-99.068226,56,1.378016
-107.843636,69,1.405031
-142.120852,60,1.42994
-104.890762,45,1.44919
-92.15072,55,1.470685
-117.883643,63,1.495169
-124.177065,106,1.537698
-119.85434,50,1.559969
-113.503807,56,1.581464
-103.15293,51,1.601428
-106.935041,48,1.620525
-117.784828,55,1.645065
-103.219643,47,1.663523
-173.674957,74,1.692861
-156.59697,75,1.722768
-110.659551,56,1.748579
-91.474065,48,1.766917
-230.345025,98,1.805976
-103.114133,62,1.831494
-92.497869,54,1.855629
-117.876029,51,1.875491
-92.7671,54,1.896571
-97.401618,56,1.917545
-112.020655,54,1.942686
-88.578684,58,1.964673
-101.715245,52,1.98533
-116.909923,57,2.007756
-116.352408,47,2.027516
-135.302387,58,2.051687
-104.910155,51,2.071602
-88.969357,61,2.094177
-107.631925,42,2.111926
-113.855712,60,2.136041
-116.893139,61,2.159955
-105.023426,58,2.181823
-106.24715,45,2.201137
-159.024709,75,2.22934
-105.367331,49,2.250171
-82.799167,51,2.269439
-105.962677,71,2.299119
-85.534454,70,2.324684
-102.780143,50,2.344879
-111.395319,48,2.363632
-118.240853,89,2.39879
-99.45731,62,2.423516
-95.464479,53,2.444964
-135.955502,73,2.470718
-112.615443,48,2.491954
-106.860721,62,2.51611
-101.478624,60,2.536814
-107.500885,60,2.558552
-85.28791,57,2.579664
-96.099717,57,2.598559
-149.560135,54,2.615861
-127.688625,60,2.635163
-99.660077,69,2.660893
-96.994393,66,2.688238
-109.640192,85,2.717633
-90.177635,61,2.737765
-113.019327,83,2.769924
-100.446989,48,2.785582
-72.79938,76,2.81036
-97.79973,49,2.826564
-105.165305,56,2.848864
-116.110047,52,2.865916
-156.83952,62,2.886667
-102.638607,69,2.910116
-119.70927,47,2.92764
-109.150955,51,2.944441
-95.310813,51,2.962579
-109.761909,51,2.979791
-91.192777,51,2.999234
-105.985114,53,3.017345
-104.194048,64,3.039133
-77.983169,70,3.064429
-86.073131,71,3.090293
-97.808536,72,3.115562
-98.529131,58,3.135165
-97.449808,54,3.154696
-99.811801,56,3.176574
-164.339261,101,3.211622
-110.105808,54,3.230218
-129.73858,74,3.255834
-114.231973,67,3.281003
-113.528847,65,3.303321
-21.550552,140,3.35194
-98.600182,52,3.371028
-106.514566,67,3.396162
-89.023074,56,3.415008
-140.537983,79,3.446076
-115.281128,45,3.464653
-104.300006,66,3.4927
-97.965102,61,3.516889
-81.409299,65,3.541655
-135.259578,62,3.567779
-112.834186,59,3.592912
-101.2427,48,3.611932
-116.277178,52,3.632847
-123.627633,59,3.655818
-140.219478,96,3.697409
-100.312029,45,3.714867
-99.274514,60,3.740106
-99.348731,45,3.758579
-124.692644,142,3.818844
-115.748296,51,3.839282
-90.128467,70,3.867491
-88.435781,56,3.889096
-106.579915,57,3.913253
-96.217404,50,3.933023
-100.330134,58,3.955447
-127.607585,47,3.975278
-102.032287,66,4.003175
-187.614961,78,4.034415
-96.043809,75,4.500864
-64.724383,70,4.887254
-0.736594,49,5.235758
-22.68415,61,5.508444
-24.416975,59,5.830697
1.199432,78,6.148217
-33.417783,70,6.576177
-128.34004,99,6.958022
-61.53415,61,7.476551
-73.680543,55,7.950076
-52.736861,63,8.423458
-35.907076,49,8.949395
