#{"t_start": 1697457775.534779, "env_id": "turbolander-2d-custom-v1"}
r,l,t
830.905869,90,0.341075
896.22546,90,0.477151
771.404543,94,0.617739
750.853967,92,0.753912
835.054449,94,0.897752
859.684637,90,2.265931
775.463683,95,2.95498
922.934442,87,3.087233
875.430382,92,3.227132
863.460547,98,3.373293
847.94034,104,4.695714
830.900056,95,4.838864
848.250467,97,4.982123
843.390644,114,5.504395
793.625446,177,6.9233
890.463955,98,7.069637
794.36537,135,7.270827
788.581404,87,7.399743
787.080056,125,7.916043
811.65568,96,9.220469
896.540654,82,9.345153
811.017238,100,9.495112
815.071075,176,9.756783
867.982962,96,11.533075
796.865004,91,11.670296
792.148548,118,11.846924
901.506055,100,11.994937
750.3168,78,12.111221
930.276391,86,12.240506
847.558829,130,13.610844
819.734208,88,14.218713
920.309889,88,14.362135
918.528514,84,14.489505
849.645461,118,14.665138
872.919022,81,15.950382
821.041217,139,16.156109
879.23906,93,16.631945
814.155175,151,16.854842
811.660117,84,18.131604
763.94853,82,18.253711
817.144334,99,18.402435
850.489385,91,18.537391
901.948958,87,19.144764
851.168484,123,20.485033
795.800284,76,20.598855
813.6564,81,20.720495
723.925255,161,20.958087
806.282563,89,21.089712
900.797409,78,21.205833
789.092735,111,22.867601
871.00423,82,22.989588
-125.0,500,25.241086
752.422043,89,25.373172
753.263873,82,25.495496
797.127945,101,25.648565
773.623782,98,26.968997
908.651075,88,27.102459
829.277234,156,27.839095
895.530748,82,27.965846
789.988889,98,28.113664
801.333446,91,29.450224
850.234274,82,29.575674
812.094977,188,29.860681
820.828406,96,30.377961
812.09344,88,31.674537
836.424399,91,31.810331
788.606451,95,31.955939
838.089158,104,32.114914
946.530825,78,32.234432
854.099059,82,32.361031
755.393979,96,34.243202
843.316299,78,34.357978
785.969663,118,34.531699
829.262975,95,34.670175
810.448295,94,34.807698
797.550553,186,36.646323
742.028846,87,36.772927
807.919518,91,36.904809
745.203536,76,37.014635
873.184887,79,37.129901
779.027264,116,38.609225
844.82533,106,38.766418
786.955153,108,39.208655
951.853235,79,39.32553
825.261875,79,39.442651
-125.0,500,42.035011
863.17872,93,43.587254
834.423084,88,43.718977
843.081605,89,43.877842
879.555838,125,44.150242
880.878066,91,44.354471
909.156348,90,46.483195
817.311782,104,46.716926
863.024031,81,46.90066
-125.0,500,49.89531
838.802439,86,50.025934
911.037756,92,50.165016
887.273778,86,50.29579
863.030862,83,51.775321
752.897356,86,51.931963
-125.0,500,54.453431
811.249836,116,54.625916
869.995984,86,54.756291
605.312221,121,55.45545
826.252172,95,57.000276
807.708662,89,57.133419
796.003543,95,57.275898
867.898534,98,57.423556
837.830852,89,57.55691
842.089087,96,59.580629
816.621334,118,59.759277
611.440426,168,60.011799
860.35011,78,60.128754
832.353631,102,61.781353
841.649183,99,61.936534
807.028089,95,62.564591
783.446837,92,62.706715
902.192276,99,62.910584
862.032459,95,63.09889
-125.0,500,66.086028
770.278978,81,67.469157
801.401179,142,67.783757
-125.0,500,70.78942
801.313021,103,71.025462
792.14601,94,71.240578
814.207841,129,73.173856
841.180528,113,73.43561
802.196283,104,73.675619
-125.0,500,76.569384
781.735741,106,76.745492
844.541988,91,76.934601
816.571984,90,79.037335
766.531981,82,79.184283
867.979841,92,79.338624
959.730658,77,79.962438
892.290475,82,80.10257
-125.0,500,82.796116
860.757376,97,82.973609
805.793529,135,84.560809
787.695602,106,84.717133
751.073062,85,84.868337
605.853217,108,85.07341
-125.0,500,87.897565
775.428746,127,89.582484
820.407583,102,90.307368
797.108556,87,90.494458
720.956578,87,90.667164
837.507648,141,90.967971
836.99333,130,92.700553
794.569157,100,92.898829
821.95209,89,93.620115
789.715325,98,93.801378
853.245016,96,93.952065
814.804767,102,95.929982
777.173082,94,96.123666
860.354632,95,96.349167
833.243838,114,96.700573
753.659045,106,97.408934
843.135694,92,99.041746
817.889183,199,99.371242
793.59936,94,99.514936
845.612695,94,99.660583
-125.0,500,102.208999
801.678001,153,103.958428
950.894523,76,104.41777
842.110096,111,104.596242
875.420695,81,104.777213
835.783515,69,104.93475
946.125429,77,106.49074
900.771389,77,106.612336
807.094371,106,106.779516
798.378725,103,107.314854
756.274811,97,107.497151
848.81769,84,107.656673
800.959934,196,109.341523
916.607772,83,109.472217
931.914613,80,109.619893
818.83796,93,110.804842
919.323509,86,112.1741
820.046879,169,112.512537
830.033951,72,112.656021
763.222737,97,112.845755
766.033761,95,113.03213
767.632114,78,115.131216
806.822218,91,115.33273
841.18694,98,115.562588
820.375395,79,115.735569
850.074766,92,115.882308
883.040659,92,116.029567
788.967869,74,117.497729
897.918779,85,118.316304
820.753753,94,118.539485
783.039819,77,118.687105
867.08213,85,118.849046
778.255793,129,121.190999
869.771578,80,121.374616
-125.0,500,125.267195
877.451481,81,125.530005
938.841395,82,125.771615
810.980184,115,126.299498
717.791204,93,126.457912
823.813189,109,128.286369
924.736181,85,128.441251
820.75654,105,128.613678
926.006997,88,128.751271
828.220797,143,130.936807
862.123359,93,131.093715
846.422982,95,131.250439
886.802102,101,131.417022
890.113501,89,131.563962
885.163356,81,131.757239
802.063486,111,133.499731
933.961483,89,134.037339
762.490322,90,134.212845
711.193841,88,134.386354
841.992021,108,134.59347
781.518391,98,136.351065
800.539999,124,136.541316
810.329503,193,137.472584
836.098841,153,139.245272
785.683746,96,139.424555
882.657218,94,139.602015
857.03446,88,139.765121
783.15642,79,140.546528
828.589557,121,142.148937
846.908325,143,142.435806
945.443298,82,142.569692
854.355249,94,142.709564
824.626103,96,142.854679
789.427929,141,145.256723
-125.0,500,147.754431
804.441814,103,148.230711
851.401469,97,148.374089
911.303736,77,148.496071
919.576271,80,148.663093
818.100535,106,150.590118
900.71695,85,150.717763
850.899043,103,150.873767
850.264878,96,151.556786
956.827902,82,151.710683
854.856962,115,153.575253
861.002282,91,153.748879
709.122595,86,153.90894
822.552344,91,154.081184
814.998449,149,154.729422
786.280319,85,156.084919
841.578149,84,156.272853
879.177436,88,156.475656
817.934424,102,156.710515
-127.0,108,156.939514
811.855249,78,157.07448
870.290805,87,158.802924
820.312568,96,158.980207
835.774611,117,159.199487
704.039375,91,159.353384
769.284701,103,159.506454
785.984176,72,160.894648
-125.0,500,163.580413
818.70995,103,163.770934
678.553596,98,163.951999
886.051607,87,164.437524
800.171213,95,164.581386
817.815165,94,166.109252
778.647709,70,166.213841
810.400997,100,166.362601
848.30996,91,166.50111
839.948689,120,167.033394
838.694913,113,168.602741
810.936181,127,168.789241
815.64329,84,168.912446
788.834274,105,169.067906
844.177496,120,169.244887
779.911608,382,171.569435
908.51197,86,171.731991
870.848351,102,173.320679
870.411194,103,173.497609
861.757412,87,173.978771
822.418645,90,174.142397
784.496918,110,174.344344
942.993895,81,174.494657
781.792878,101,176.012268
905.478229,85,176.139167
856.901483,97,176.838568
900.683422,99,177.020558
798.356091,94,177.193709
775.083739,94,178.718034
821.785274,144,178.989491
769.482048,86,179.166565
727.347505,77,179.34528
913.409574,80,179.932261
759.827299,245,182.178225
947.018571,75,182.350541
886.209673,81,182.540504
798.755352,105,182.746672
808.020707,161,184.738294
815.575471,126,184.974266
836.741729,100,185.139377
898.746429,89,185.275388
719.033336,89,186.762011
910.382378,84,186.922893
875.33868,104,187.479602
811.029268,114,187.647335
714.238312,86,187.778451
882.850298,83,187.901853
-125.0,500,190.768966
836.038429,80,192.27478
828.759599,101,192.4278
793.419742,95,192.569827
881.518438,88,192.703005
843.14932,97,193.526268
812.809088,98,194.95326
878.065759,88,195.084652
884.472127,101,195.233722
850.772583,74,195.401984
841.046371,84,195.592371
623.920144,91,195.796386
960.046006,78,197.655663
800.297867,112,197.86468
933.862792,80,198.035542
874.454527,80,198.188797
817.085616,73,198.330108
795.350293,91,198.497607
899.884188,96,199.944343
925.765377,76,200.648741
885.465069,78,200.796248
847.027694,88,200.96084
685.840851,84,201.107195
679.239426,86,202.485736
628.953586,101,202.715097
868.426824,85,202.91132
795.203813,90,203.611954
827.944889,89,203.744866
928.679583,76,203.858414
857.291283,85,205.340772
784.602153,101,205.534485
941.883011,77,205.662392
830.487748,90,205.799519
810.671676,93,206.24431
792.720893,84,206.373564
780.992144,117,207.971352
828.330554,72,208.080699
875.979284,88,208.215646
925.349373,76,208.33725
-125.0,500,211.201397
773.551334,91,211.378467
790.321776,96,212.932237
816.071859,88,213.064531
776.630981,89,213.736934
859.104897,99,213.924111
805.795591,89,214.092613
814.371831,96,214.275774
888.881236,85,215.792209
811.306497,119,216.015865
865.035137,75,216.550378
812.929743,102,216.789406
780.978199,104,216.973558
792.608867,85,218.928899
789.506252,85,219.125748
-127.5,110,219.381662
812.095159,87,219.518496
672.170583,74,219.906876
803.095752,93,220.050137
885.310673,78,222.085648
828.336977,82,222.268951
923.22997,67,222.405529
798.619164,80,222.526794
751.954857,71,222.633667
814.980018,92,222.773091
755.328316,85,224.758127
812.957517,92,224.897701
784.258872,98,225.04802
747.890295,216,225.376285
814.943227,83,226.992934
785.329568,100,227.473578
805.213191,69,227.578511
931.394117,71,227.684309
819.958809,75,227.798981
628.575285,84,227.924151
748.503969,87,229.487013
882.966551,76,229.613206
756.396127,79,229.735513
765.72496,78,230.127318
845.953646,76,230.246124
921.264651,84,230.374469
907.467449,69,230.483975
765.97622,85,232.172259
877.592398,91,232.311037
-125.0,500,235.139942
918.252132,74,235.275569
604.164486,87,235.436525
854.682098,99,235.626626
841.619287,78,237.419618
765.733731,83,237.54495
785.760795,81,237.674921
755.999905,82,237.862247
823.69599,81,238.013577
856.773029,70,238.147516
837.910061,70,238.307081
862.388896,80,239.783542
913.479414,77,239.901585
868.7118,86,240.36091
932.576133,71,240.499286
953.37949,69,240.627675
733.834692,93,240.810479
822.050246,127,242.318372
793.055115,129,242.534516
820.39653,89,243.230495
852.888185,82,243.396909
813.507861,89,243.57457
873.067044,65,244.928265
819.483164,85,245.085019
844.891967,79,245.236079
838.577403,70,245.367204
919.761788,69,245.497201
827.783662,86,246.000439
832.798874,111,248.306123
913.901555,71,248.455967
776.744673,85,248.643008
824.915972,89,248.816784
807.147043,78,248.93776
730.950744,77,249.064438
785.245606,86,251.233275
779.199185,122,251.419317
846.634944,74,251.53184
773.051911,114,251.709796
820.078664,88,251.842289
931.72587,65,251.940258
654.952311,79,253.488157
831.030128,88,254.013881
812.632672,73,254.125652
808.806636,85,254.254701
794.531991,78,254.371939
773.119941,95,254.515806
827.86385,98,256.146521
833.518295,74,256.29734
830.635934,78,256.415987
771.911077,87,256.83708
824.473428,109,257.002319
897.057672,69,257.106624
918.68926,66,258.737687
760.346628,191,259.054019
764.78508,80,259.174021
841.281125,77,259.640422
720.801851,84,259.831445
792.285143,115,261.544935
828.747172,74,261.658049
787.622711,90,261.795108
856.837523,86,261.934392
796.970531,113,262.114542
875.955173,76,264.117275
815.06676,101,264.278375
821.94542,105,264.43961
806.020386,100,264.593472
944.306568,72,264.736132
805.089683,93,266.492521
892.693258,75,266.605734
775.677711,129,267.169597
848.148573,97,267.394682
762.784125,72,267.560725
809.64301,78,267.739032
-125.0,500,271.065587
815.542022,74,272.548194
791.553581,121,272.775697
783.647921,104,272.972306
789.786458,84,273.132958
801.102216,110,273.807716
855.912306,71,275.204769
775.212874,90,275.40403
849.643189,82,275.567829
769.834951,174,275.891608
-134.75,139,277.863788
859.107824,91,278.061164
739.710197,90,278.218638
808.943911,110,278.385001
886.133753,76,278.501336
761.03384,82,278.62437
780.913137,85,280.100814
838.212254,98,280.639586
801.786087,121,280.819117
795.288946,84,280.942899
856.02621,93,281.080253
811.248962,109,282.599155
827.074987,91,282.753847
844.767803,99,282.900635
833.841004,79,283.282425
856.213303,92,283.418579
812.45212,92,284.929634
741.554281,85,285.055279
888.566391,74,285.164751
774.347474,116,285.335784
896.37623,68,285.436425
838.384898,73,286.026721
850.124822,74,286.166471
860.090314,91,287.59762
797.456264,75,287.708426
831.292633,92,287.848429
866.902881,66,287.948739
838.959271,96,288.127857
855.764409,81,288.310705
817.735451,103,290.108506
811.468876,85,290.236304
805.957104,123,290.455247
626.606668,99,290.654355
801.662498,114,292.175431
885.475186,70,292.282752
827.553483,124,292.765843
785.49776,98,292.950294
807.957816,91,293.125978
802.425912,84,293.287381
856.884319,70,294.993671
833.125626,105,295.15286
768.588637,103,295.832479
857.881804,115,296.097493
695.475317,78,296.276959
857.969337,92,297.639218
877.71544,68,297.766514
848.051611,83,297.914839
829.433531,68,298.037793
829.837302,93,298.204391
825.197669,130,298.910608
831.460856,72,300.242978
853.437508,72,300.377609
849.20607,74,300.5193
816.990325,99,300.705188
890.794127,94,300.881015
832.293396,120,302.785931
932.80878,72,302.921353
790.369166,84,303.079092
821.42073,82,303.231803
826.727598,87,303.368756
798.936455,82,303.491908
-125.0,500,305.980242
868.089975,166,307.592364
804.775694,68,307.748213
697.060273,77,307.884613
930.791068,80,308.28313
794.686434,97,308.431262
766.590939,95,309.964378
707.992708,81,310.113842
819.85696,98,310.262274
745.19394,85,310.393648
776.783707,85,310.521659
898.96926,71,310.933471
695.835964,79,312.451495
739.063252,72,312.561189
759.308967,92,312.700483
875.454931,104,312.859307
840.645487,102,313.011924
756.501235,72,313.120615
726.676129,79,314.978943
819.774342,101,315.129124
806.638411,92,315.266468
845.188038,148,315.488667
863.333817,121,315.718103
874.566445,93,317.674569
742.92726,69,318.227055
736.087006,80,318.379468
906.2504,77,318.522988
917.633368,78,318.669862
-125.0,500,321.830855
854.672216,96,322.012204
854.662763,123,323.5284
823.187051,102,323.696313
800.31282,113,323.912377
798.728887,96,324.448393
810.597576,173,325.974394
885.832019,74,326.110801
812.869832,98,326.296415
917.302194,68,326.42521
808.946528,91,326.596356
817.974151,96,328.495359
800.858449,83,328.648565
811.117798,83,328.801095
748.164458,89,328.967805
775.346875,67,329.092256
827.818966,105,329.288853
868.812667,81,330.767953
857.446231,123,331.379243
833.916339,97,331.554172
762.848452,89,331.716762
848.650002,88,331.876097
922.780684,71,332.007959
790.299416,89,333.594879
725.218924,75,333.829812
863.141505,114,334.741757
865.095249,102,335.03512
814.239647,90,335.183681
881.259445,74,336.668215
963.122558,70,336.798671
756.548182,65,336.920276
831.888929,74,337.060766
882.225765,157,337.7343
800.263791,66,337.83467
846.692492,78,339.329442
859.531667,122,339.560457
789.523119,102,339.723948
874.809108,141,339.937297
